Nap,Tmax  [°C],Tmin  [°C],Wind (m/s),Csapadék 	[mm]
2018.10.27szombat,13.9,10.6,5.3,4.1
2018.10.28vasárnap,20.7,11.4,7.3,6.9
2018.10.29hétfő,20.4,16.0,7.7,20.5
2018.10.30kedd,18.1,10.8,7.7,4.7
2018.10.31szerda,18.4,9.9,4.6,0.0
2018.11.01csütörtök,20.8,8.8,4.7,0.0
2018.11.02péntek,21.2,13.0,4.3,0.2
2018.11.03szombat,19.6,11.3,2.7,0.0
2018.11.04vasárnap,17.3,7.9,2.6,0.0
2018.11.05hétfő,17.2,6.6,4.2,0.0
2018.11.06kedd,15.8,7.3,4.9,0.0
2018.11.07szerda,15.6,6.6,4.8,0.0
2018.11.08csütörtök,14.3,5.4,3.1,0.0
2018.11.09péntek,12.7,3.0,3.6,0.0
2018.11.10szombat,10.9,3.2,4.3,0.1
2018.11.11vasárnap,15.0,4.8,4.0,0.2
2018.11.12hétfő,14.7,4.3,3.6,0.0
2018.11.13kedd,13.8,5.8,3.8,0.1
2018.11.14szerda,12.0,3.5,6.9,0.0
2018.11.15csütörtök,10.7,0.6,2.5,0.0
2018.11.16péntek,8.3,0.9,5.3,0.0
2018.11.17szombat,5.9,-1.5,5.5,0.0
2018.11.18vasárnap,6.4,-3.6,2.5,0.0
2018.11.19hétfő,1.9,-0.5,4.1,1.2
2018.11.20kedd,4.5,0.3,8.7,4.0
2018.11.21szerda,4.3,3.4,5.4,4.6
2018.11.22csütörtök,4.9,2.4,2.9,0.7
2018.11.23péntek,4.8,2.7,3.7,0.6
2018.11.24szombat,6.4,1.5,4.4,2.8
2018.11.25vasárnap,6.9,4.7,4.9,14.8
2018.11.26hétfő,9.4,5.3,6.7,14.3
2018.11.27kedd,4.6,0.9,5.6,8.8
2018.11.28szerda,1.6,-3.8,7.1,0.4
2018.11.29csütörtök,-0.2,-6.3,5.4,0.6
2018.11.30péntek,-2.1,-5.3,3.2,0.3
2018.12.01szombat,-1.8,-5.6,2.8,0.1
2018.12.02vasárnap,0.3,-4.4,4.3,0.0
2018.12.03hétfő,3.3,-2.4,3.3,0.4
2018.12.04kedd,5.4,0.2,5.9,0.7
2018.12.05szerda,4.9,-5.0,6.7,0.0
2018.12.06csütörtök,2.0,-5.9,3.0,0.1
2018.12.07péntek,2.6,-0.9,2.6,3.5
2018.12.08szombat,6.8,0.1,6.0,6.4
2018.12.09vasárnap,6.1,-0.1,5.7,0.8
2018.12.10hétfő,5.9,1.4,7.9,0.6
2018.12.11kedd,3.7,-0.2,5.6,0.8
2018.12.12szerda,3.1,-0.9,5.6,0.4
2018.12.13csütörtök,1.6,-5.3,2.0,0.0
2018.12.14péntek,-0.6,-5.7,4.5,0.7
2018.12.15szombat,-0.4,-1.1,5.8,14.8
2018.12.16vasárnap,-0.7,-4.2,3.0,4.3
2018.12.17hétfő,-4.3,-7.6,1.9,0.4
2018.12.18kedd,-2.6,-8.2,2.0,0.1
2018.12.19szerda,-7.0,-9.8,4.0,0.7
2018.12.20csütörtök,-4.2,-8.3,4.7,1.2
2018.12.21péntek,-0.9,-6.3,3.1,0.0
2018.12.22szombat,6.7,1.1,5.7,1.4
2018.12.23vasárnap,6.4,2.1,6.3,0.6
2018.12.24hétfő,4.0,-2.1,6.0,6.2
2018.12.25kedd,2.0,-3.5,7.9,0.4
2018.12.26szerda,3.8,-0.8,7.1,0.2
2018.12.27csütörtök,5.9,0.0,5.6,0.0
2018.12.28péntek,6.1,2.3,6.5,0.0
2018.12.29szombat,5.1,0.0,5.7,0.0
2018.12.30vasárnap,4.8,-0.7,8.8,1.4
2018.12.31hétfő,4.2,-1.5,7.5,0.3
2019.01.01kedd,2.7,-4.6,6.1,0.9
2019.01.02szerda,3.1,-0.7,9.5,0.9
2019.01.03csütörtök,0.3,-3.3,7.9,0.1
2019.01.04péntek,-1.0,-6.3,5.4,0.2
2019.01.05szombat,2.2,-3.2,5.8,4.0
2019.01.06vasárnap,0.4,-6.5,7.3,0.0
2019.01.07hétfő,-5.2,-14.9,1.9,0.0
2019.01.08kedd,0.0,-10.4,4.4,4.7
2019.01.09szerda,1.8,-1.2,4.6,1.9
2019.01.10csütörtök,0.2,-8.6,3.2,0.3
2019.01.11péntek,-6.5,-9.8,5.6,0.1
2019.01.12szombat,3.3,-4.3,6.0,1.2
2019.01.13vasárnap,3.3,0.0,5.9,1.4
2019.01.14hétfő,3.1,-1.4,10.1,4.7
2019.01.15kedd,1.2,-3.2,8.2,0.7
2019.01.16szerda,5.7,-1.3,10.0,0.2
2019.01.17csütörtök,10.0,-1.1,6.0,3.3
2019.01.18péntek,5.6,-3.2,8.1,7.2
2019.01.19szombat,0.6,-4.7,3.6,0.0
2019.01.20vasárnap,0.0,-2.1,3.7,2.7
2019.01.21hétfő,0.0,-7.0,1.8,0.1
2019.01.22kedd,-2.4,-9.9,3.0,0.0
2019.01.23szerda,-1.4,-7.1,4.7,2.7
2019.01.24csütörtök,1.5,-3.1,3.6,1.2
2019.01.25péntek,-3.3,-6.3,6.7,2.5
2019.01.26szombat,-2.7,-6.5,7.1,0.0
2019.01.27vasárnap,2.7,-2.1,5.2,0.7
2019.01.28hétfő,3.6,-1.9,4.5,5.7
2019.01.29kedd,3.3,-3.6,4.8,0.1
2019.01.30szerda,-1.3,-8.5,2.6,0.1
2019.01.31csütörtök,0.1,-3.4,2.4,0.2
2019.02.01péntek,2.3,-2.0,4.7,1.8
2019.02.02szombat,9.5,5.3,6.7,2.5
2019.02.03vasárnap,11.0,3.5,7.6,2.0
2019.02.04hétfő,4.4,0.9,8.5,0.3
2019.02.05kedd,4.7,-1.4,3.0,0.2
2019.02.06szerda,3.3,-4.8,3.0,0.0
2019.02.07csütörtök,2.2,-5.5,2.5,0.0
2019.02.08péntek,3.8,-4.5,2.0,0.3
2019.02.09szombat,3.8,-3.7,2.7,0.1
2019.02.10vasárnap,6.3,-4.5,7.7,0.8
2019.02.11hétfő,6.0,2.6,10.5,4.3
2019.02.12kedd,3.2,-0.7,9.6,0.1
2019.02.13szerda,3.6,-1.7,5.9,0.1
2019.02.14csütörtök,7.1,-0.3,6.5,0.0
2019.02.15péntek,7.1,-2.6,1.9,0.0
2019.02.16szombat,8.4,-2.3,2.3,0.0
2019.02.17vasárnap,9.7,-2.1,1.9,0.0
2019.02.18hétfő,7.3,-2.3,2.2,0.0
2019.02.19kedd,7.2,-1.3,2.3,0.2
2019.02.20szerda,8.3,0.8,4.9,0.0
2019.02.21csütörtök,8.6,-0.5,4.2,0.5
2019.02.22péntek,10.6,-2.7,7.6,1.6
2019.02.23szombat,-0.8,-6.4,6.2,0.0
2019.02.24vasárnap,1.5,-6.6,3.3,0.0
2019.02.25hétfő,6.5,-4.0,3.0,0.0
2019.02.26kedd,10.5,-3.9,6.9,0.0
2019.02.27szerda,9.5,-0.1,5.0,0.0
2019.02.28csütörtök,12.9,0.9,8.4,0.0
2019.03.01péntek,11.6,4.7,5.5,0.1
2019.03.02szombat,6.9,2.5,4.5,0.4
2019.03.03vasárnap,11.7,3.1,5.7,0.5
2019.03.04hétfő,14.8,4.1,9.8,0.0
2019.03.05kedd,11.9,5.0,6.9,1.5
2019.03.06szerda,13.6,3.5,4.7,0.5
2019.03.07csütörtök,17.2,6.5,8.8,0.0
2019.03.08péntek,14.8,7.8,4.7,1.7
2019.03.09szombat,12.8,5.8,5.8,0.2
2019.03.10vasárnap,13.8,6.8,9.1,0.2
2019.03.11hétfő,9.3,3.8,14.0,0.3
2019.03.12kedd,7.9,0.0,5.8,0.0
2019.03.13szerda,6.0,-1.6,5.7,2.1
2019.03.14csütörtök,9.5,-0.9,3.8,0.0
2019.03.15péntek,10.1,4.5,8.2,2.2
2019.03.16szombat,10.0,7.7,7.2,0.9
2019.03.17vasárnap,17.6,3.6,6.5,0.0
2019.03.18hétfő,11.5,6.2,8.7,1.5
2019.03.19kedd,9.9,5.2,5.5,0.4
2019.03.20szerda,10.0,2.5,2.1,0.0
2019.03.21csütörtök,11.1,-0.6,2.0,0.0
2019.03.22péntek,14.0,0.7,2.0,0.0
2019.03.23szombat,15.6,2.5,2.8,0.0
2019.03.24vasárnap,17.7,5.5,4.8,0.0
2019.03.25hétfő,12.1,7.5,5.5,0.2
2019.03.26kedd,11.0,5.2,5.9,0.0
2019.03.27szerda,9.0,1.6,5.6,0.0
2019.03.28csütörtök,13.2,-1.1,3.6,0.0
2019.03.29péntek,13.8,2.3,2.2,0.0
2019.03.30szombat,15.7,2.1,2.0,0.0
2019.03.31vasárnap,17.7,3.1,2.5,0.0
2019.04.01hétfő,13.9,6.1,5.9,0.0
2019.04.02kedd,15.2,5.0,6.6,0.0
2019.04.03szerda,15.5,8.2,6.6,0.0
2019.04.04csütörtök,17.0,9.0,7.0,0.0
2019.04.05péntek,15.0,6.6,7.7,3.0
2019.04.06szombat,15.5,5.9,3.5,3.0
2019.04.07vasárnap,17.6,6.7,4.0,0.0
2019.04.08hétfő,19.7,8.6,3.3,0.0
2019.04.09kedd,19.0,12.0,4.5,0.4
2019.04.10szerda,17.5,10.9,5.4,0.0
2019.04.11csütörtök,14.2,10.0,6.5,6.4
2019.04.12péntek,10.5,7.7,5.4,13.4
2019.04.13szombat,10.1,7.7,5.4,0.2
2019.04.14vasárnap,14.4,8.4,6.4,1.3
2019.04.15hétfő,12.4,4.6,6.4,0.0
2019.04.16kedd,12.8,2.1,3.9,0.0
2019.04.17szerda,15.2,3.4,3.0,0.0
2019.04.18csütörtök,18.4,9.2,4.1,0.1
2019.04.19péntek,20.7,11.3,4.0,0.0
2019.04.20szombat,19.6,11.0,3.2,0.0
2019.04.21vasárnap,20.3,11.8,3.6,0.0
2019.04.22hétfő,19.1,12.0,7.1,0.3
2019.04.23kedd,11.8,9.9,7.4,4.8
2019.04.24szerda,21.4,10.2,6.0,2.1
2019.04.25csütörtök,23.8,12.7,6.3,0.0
2019.04.26péntek,25.9,15.8,6.1,2.8
2019.04.27szombat,17.7,12.2,6.7,4.3
2019.04.28vasárnap,15.8,11.7,8.2,0.4
2019.04.29hétfő,15.9,10.3,5.2,0.9
2019.04.30kedd,16.8,9.0,3.8,6.1
2019.05.01szerda,19.3,10.4,6.4,0.0
2019.05.02csütörtök,21.1,10.8,5.5,1.0
2019.05.03péntek,16.9,11.9,5.9,0.6
2019.05.04szombat,17.4,12.3,5.0,10.9
2019.05.05vasárnap,11.3,7.1,5.8,27.1
2019.05.06hétfő,11.7,7.1,4.9,9.1
2019.05.07kedd,15.2,6.8,6.3,0.0
2019.05.08szerda,17.8,7.8,4.6,0.0
2019.05.09csütörtök,11.4,9.9,5.0,17.0
2019.05.10péntek,19.3,9.9,6.6,0.6
2019.05.11szombat,22.3,11.2,3.6,0.8
2019.05.12vasárnap,22.3,13.6,4.9,9.8
2019.05.13hétfő,16.4,8.8,6.3,1.2
2019.05.14kedd,10.5,6.8,6.0,30.3
2019.05.15szerda,11.6,8.5,3.0,9.3
2019.05.16csütörtök,17.0,7.4,2.2,0.1
2019.05.17péntek,20.0,10.4,2.6,0.0
2019.05.18szombat,23.4,11.8,3.9,0.2
2019.05.19vasárnap,24.4,14.2,4.7,3.5
2019.05.20hétfő,22.4,15.9,6.0,7.7
2019.05.21kedd,19.8,12.7,5.4,5.7
2019.05.22szerda,17.6,14.3,7.1,1.5
2019.05.23csütörtök,18.5,12.6,7.7,0.0
2019.05.24péntek,20.5,10.5,3.5,2.2
2019.05.25szombat,23.9,13.6,2.9,0.0
2019.05.26vasárnap,25.6,16.0,2.8,0.0
2019.05.27hétfő,25.6,17.3,4.2,7.8
2019.05.28kedd,23.6,15.3,4.2,9.4
2019.05.29szerda,21.8,14.2,3.3,5.8
2019.05.30csütörtök,16.7,12.7,4.2,23.1
2019.05.31péntek,23.1,12.9,3.3,1.4
2019.06.01szombat,25.2,15.8,4.9,0.9
2019.06.02vasárnap,27.2,17.0,3.6,0.0
2019.06.03hétfő,28.1,18.1,3.5,0.2
2019.06.04kedd,27.5,18.7,3.3,0.0
2019.06.05szerda,27.7,19.7,3.9,3.0
2019.06.06csütörtök,26.2,17.3,4.8,4.6
2019.06.07péntek,27.7,18.2,4.1,8.8
2019.06.08szombat,27.1,18.2,6.0,0.0
2019.06.09vasárnap,28.1,17.9,3.6,0.0
2019.06.10hétfő,30.4,20.0,4.2,0.0
2019.06.11kedd,30.9,21.1,4.4,0.0
2019.06.12szerda,31.1,21.5,5.4,0.0
2019.06.13csütörtök,33.3,22.3,4.1,3.2
2019.06.14péntek,33.0,23.3,3.7,0.0
2019.06.15szombat,33.8,23.6,3.9,0.3
2019.06.16vasárnap,31.7,24.4,4.7,7.1
2019.06.17hétfő,29.4,21.0,3.7,10.7
2019.06.18kedd,26.6,19.9,4.3,3.0
2019.06.19szerda,29.7,22.9,4.8,15.9
2019.06.20csütörtök,29.8,22.4,2.5,6.9
2019.06.21péntek,29.2,21.0,4.5,0.8
2019.06.22szombat,29.8,22.3,3.3,2.4
2019.06.23vasárnap,26.8,21.1,4.2,20.1
2019.06.24hétfő,29.0,20.3,5.7,0.8
2019.06.25kedd,31.3,20.4,4.2,0.0
2019.06.26szerda,32.5,23.9,3.2,0.0
2019.06.27csütörtök,32.5,23.2,7.5,0.0
2019.06.28péntek,26.2,18.3,4.0,0.0
2019.06.29szombat,28.2,18.6,3.2,0.0
2019.06.30vasárnap,29.1,20.7,4.3,0.0
2019.07.01hétfő,32.2,20.8,3.8,0.0
2019.07.02kedd,30.9,23.2,6.3,0.0
2019.07.03szerda,27.1,20.1,5.1,0.0
2019.07.04csütörtök,25.8,19.1,4.2,0.0
2019.07.05péntek,28.4,19.7,5.3,0.0
2019.07.06szombat,29.6,20.8,5.7,0.0
2019.07.07vasárnap,24.3,20.8,6.6,13.3
2019.07.08hétfő,23.0,17.4,4.7,0.0
2019.07.09kedd,22.5,17.7,5.6,0.0
2019.07.10szerda,23.1,17.3,5.7,0.0
2019.07.11csütörtök,23.9,15.1,5.2,0.0
2019.07.12péntek,21.3,17.3,3.5,0.0
2019.07.13szombat,22.4,15.9,4.9,12.9
2019.07.14vasárnap,25.9,15.6,4.9,0.6
2019.07.15hétfő,23.8,17.6,3.6,0.8
2019.07.16kedd,26.1,18.0,4.5,0.0
2019.07.17szerda,24.6,14.7,4.9,0.0
2019.07.18csütörtök,27.8,18.8,3.8,1.0
2019.07.19péntek,28.5,20.2,3.5,2.4
2019.07.20szombat,30.2,20.8,4.3,0.0
2019.07.21vasárnap,32.0,22.0,5.2,0.6
2019.07.22hétfő,28.6,21.1,5.7,0.0
2019.07.23kedd,27.8,21.2,4.6,0.0
2019.07.24szerda,29.8,19.9,3.4,0.0
2019.07.25csütörtök,30.1,21.6,2.6,0.0
2019.07.26péntek,32.5,22.6,3.1,0.1
2019.07.27szombat,30.2,21.8,3.8,12.9
2019.07.28vasárnap,32.2,20.7,5.0,5.4
2019.07.29hétfő,29.3,20.7,4.3,4.3
2019.07.30kedd,30.5,20.8,5.5,0.0
2019.07.31szerda,28.7,22.6,4.6,0.0
2019.08.01csütörtök,30.6,21.8,4.4,0.9
2019.08.02péntek,27.9,21.8,4.3,0.0
2019.08.03szombat,25.8,18.2,5.6,37.4
2019.08.04vasárnap,26.9,17.5,3.0,0.0
2019.08.05hétfő,27.2,19.7,4.2,0.5
2019.08.06kedd,31.2,20.5,3.0,0.4
2019.08.07szerda,31.7,22.6,6.0,1.5
2019.08.08csütörtök,28.8,20.7,5.9,0.0
2019.08.09péntek,30.7,22.0,4.1,0.1
2019.08.10szombat,33.4,23.1,3.2,0.0
2019.08.11vasárnap,33.6,23.7,4.7,0.0
2019.08.12hétfő,36.2,24.8,3.7,0.0
2019.08.13kedd,28.0,20.3,7.2,3.7
2019.08.14szerda,23.0,17.4,4.6,12.0
2019.08.15csütörtök,24.2,16.8,2.5,0.0
2019.08.16péntek,25.4,19.1,4.3,1.1
2019.08.17szombat,27.4,17.9,3.1,0.0
2019.08.18vasárnap,29.7,20.0,4.2,0.0
2019.08.19hétfő,32.3,21.7,3.3,0.0
2019.08.20kedd,33.6,23.3,3.0,0.0
2019.08.21szerda,30.2,22.5,5.5,0.5
2019.08.22csütörtök,27.7,19.4,3.1,2.3
2019.08.23péntek,30.5,21.6,2.2,0.0
2019.08.24szombat,32.1,23.4,4.0,0.0
2019.08.25vasárnap,32.0,23.7,3.3,1.5
2019.08.26hétfő,31.5,24.3,4.0,1.3
2019.08.27kedd,31.5,24.4,3.9,0.9
2019.08.28szerda,33.4,24.7,3.2,0.0
2019.08.29csütörtök,33.1,25.4,2.9,0.0
2019.08.30péntek,34.7,24.7,2.6,0.0
2019.08.31szombat,33.1,25.0,3.9,0.1
2019.09.01vasárnap,32.3,24.8,3.7,0.0
2019.09.02hétfő,32.6,22.2,4.7,0.0
2019.09.03kedd,21.9,16.1,6.8,2.2
2019.09.04szerda,25.6,15.9,1.9,0.0
2019.09.05csütörtök,26.5,18.6,2.0,0.0
2019.09.06péntek,26.3,17.3,4.0,0.0
2019.09.07szombat,20.5,18.2,3.0,2.4
2019.09.08vasárnap,23.0,17.6,2.6,5.3
2019.09.09hétfő,21.8,15.0,5.6,20.3
2019.09.10kedd,22.7,14.7,3.2,0.0
2019.09.11szerda,26.1,16.7,2.0,0.0
2019.09.12csütörtök,25.5,19.7,5.4,0.0
2019.09.13péntek,25.4,16.3,4.3,0.0
2019.09.14szombat,25.6,18.4,4.4,0.0
2019.09.15vasárnap,23.8,15.7,3.2,0.0
2019.09.16hétfő,26.7,17.5,3.5,0.0
2019.09.17kedd,22.0,16.7,6.1,0.0
2019.09.18szerda,17.2,11.2,8.4,0.0
2019.09.19csütörtök,17.1,10.4,4.8,0.0
2019.09.20péntek,18.8,9.8,3.5,0.0
2019.09.21szombat,19.5,12.4,2.0,0.0
2019.09.22vasárnap,22.5,13.1,4.2,0.0
2019.09.23hétfő,17.7,13.7,4.7,0.0
2019.09.24kedd,20.4,14.2,2.1,0.0
2019.09.25szerda,20.2,14.9,3.3,1.3
2019.09.26csütörtök,21.1,14.5,5.2,1.9
2019.09.27péntek,23.0,14.7,2.8,0.0
2019.09.28szombat,17.5,16.4,3.6,0.7
2019.09.29vasárnap,22.6,14.7,4.4,0.0
2019.09.30hétfő,24.0,15.9,10.7,0.0
2019.10.01kedd,22.7,13.4,4.7,0.0
2019.10.02szerda,23.1,15.9,5.5,2.5
2019.10.03csütörtök,15.2,10.2,9.1,0.3
2019.10.04péntek,16.2,8.1,3.5,0.0
2019.10.05szombat,13.1,10.3,7.3,4.1
2019.10.06vasárnap,14.6,8.9,7.1,0.3
2019.10.07hétfő,12.1,8.2,3.4,0.0
2019.10.08kedd,13.9,7.2,4.3,0.0
2019.10.09szerda,19.2,10.3,7.9,0.0
2019.10.10csütörtök,15.4,11.1,6.8,2.2
2019.10.11péntek,17.3,9.4,4.2,0.0
2019.10.12szombat,20.6,11.1,3.1,0.0
2019.10.13vasárnap,20.6,13.3,2.2,0.0
2019.10.14hétfő,21.4,14.6,3.2,0.0
2019.10.15kedd,22.7,14.8,3.6,0.0
2019.10.16szerda,17.3,14.1,3.1,0.0
2019.10.17csütörtök,21.5,13.8,1.6,0.0
2019.10.18péntek,21.0,14.5,3.1,0.0
2019.10.19szombat,21.6,13.4,5.5,0.0
2019.10.20vasárnap,22.8,15.0,5.1,0.0
2019.10.21hétfő,23.6,15.6,3.7,0.0
2019.10.22kedd,23.0,15.7,1.5,0.0
2019.10.23szerda,23.3,16.2,2.7,0.0
2019.10.24csütörtök,22.1,14.8,2.8,0.0
2019.10.25péntek,21.9,14.7,2.3,0.0
2019.10.26szombat,19.7,13.7,1.7,0.0
2019.10.27vasárnap,20.4,13.6,1.2,0.0
2019.10.28hétfő,17.2,12.3,4.0,0.0
2019.10.29kedd,11.4,9.3,2.4,9.8
2019.10.30szerda,11.5,7.5,3.1,0.0
2019.10.31csütörtök,10.1,5.6,1.5,0.0
2019.11.01péntek,9.7,5.3,3.5,0.0
2019.11.02szombat,11.1,6.3,4.8,0.0
2019.11.03vasárnap,16.4,9.8,6.6,0.4
2019.11.04hétfő,15.7,9.9,5.3,9.6
2019.11.05kedd,16.3,9.2,6.6,12.3
2019.11.06szerda,12.7,9.7,4.3,5.1
2019.11.07csütörtök,13.9,9.6,2.2,8.2
2019.11.08péntek,13.5,8.5,4.3,0.0
2019.11.09szombat,15.1,10.5,3.1,0.0
2019.11.10vasárnap,10.1,7.4,4.2,1.3
2019.11.11hétfő,10.2,5.5,6.1,0.0
2019.11.12kedd,10.2,7.0,3.5,1.9
2019.11.13szerda,16.4,10.4,7.7,14.9
2019.11.14csütörtök,11.4,6.4,3.9,0.3
2019.11.15péntek,14.5,8.4,3.8,0.0
2019.11.16szombat,16.3,10.3,4.0,0.0
2019.11.17vasárnap,13.8,10.2,4.6,0.0
2019.11.18hétfő,14.1,9.6,5.0,0.2
2019.11.19kedd,11.6,8.1,3.5,0.0
2019.11.20szerda,10.9,9.3,4.9,4.3
2019.11.21csütörtök,11.5,9.5,4.0,5.3
2019.11.22péntek,11.8,8.4,5.1,1.3
2019.11.23szombat,9.0,4.6,5.3,0.0
2019.11.24vasárnap,9.8,5.7,4.5,0.0
2019.11.25hétfő,10.6,5.7,1.8,0.0
2019.11.26kedd,10.2,6.6,1.2,0.0
2019.11.27szerda,9.7,5.4,5.0,2.6
2019.11.28csütörtök,10.3,9.0,2.6,7.5
2019.11.29péntek,11.0,7.4,3.8,0.0
2019.11.30szombat,5.5,1.6,7.4,0.0
2019.12.01vasárnap,4.2,0.7,4.7,0.0
2019.12.02hétfő,1.8,0.2,4.7,6.7
2019.12.03kedd,1.0,-1.6,4.1,0.0
2019.12.04szerda,-0.7,-3.5,2.0,0.0
2019.12.05csütörtök,-0.2,-2.6,2.4,0.0
2019.12.06péntek,0.2,-2.8,1.6,0.0
2019.12.07szombat,2.8,-1.6,2.6,0.0
2019.12.08vasárnap,6.3,1.6,2.1,0.0
2019.12.09hétfő,6.2,4.2,3.3,3.3
2019.12.10kedd,5.7,1.2,8.3,4.9
2019.12.11szerda,2.4,-0.4,2.6,0.0
2019.12.12csütörtök,3.5,1.0,2.9,4.7
2019.12.13péntek,5.0,3.3,4.5,5.0
2019.12.14szombat,4.7,3.7,4.2,1.6
2019.12.15vasárnap,7.4,2.5,3.4,0.0
2019.12.16hétfő,9.2,4.6,3.8,0.0
2019.12.17kedd,14.1,7.2,6.7,0.0
2019.12.18szerda,12.0,7.6,3.9,0.0
2019.12.19csütörtök,8.9,6.3,2.3,0.0
2019.12.20péntek,10.1,5.2,6.1,0.0
2019.12.21szombat,10.9,9.6,6.3,4.5
2019.12.22vasárnap,9.3,6.2,6.3,17.2
2019.12.23hétfő,7.6,7.0,9.9,4.9
2019.12.24kedd,7.8,5.4,9.4,0.0
2019.12.25szerda,8.3,4.6,6.2,3.1
2019.12.26csütörtök,6.4,3.2,6.0,0.0
2019.12.27péntek,4.6,1.6,4.9,0.0
2019.12.28szombat,3.0,-0.1,7.2,0.0
2019.12.29vasárnap,1.0,-1.1,3.2,0.0
2019.12.30hétfő,1.1,-1.5,2.3,0.0
2019.12.31kedd,4.4,-0.6,5.1,0.0
2020.01.01szerda,3.0,0.2,4.5,0.0
2020.01.02csütörtök,3.3,-0.5,1.6,0.0
2020.01.03péntek,2.4,-0.7,1.6,0.0
2020.01.04szombat,6.7,1.1,7.4,0.0
2020.01.05vasárnap,3.5,-0.7,7.9,0.1
2020.01.06hétfő,1.0,-1.0,1.7,0.0
2020.01.07kedd,1.7,-1.3,1.5,0.0
2020.01.08szerda,1.1,-1.2,1.2,0.0
2020.01.09csütörtök,1.3,-1.0,1.8,0.0
2020.01.10péntek,1.5,-0.7,2.6,0.0
2020.01.11szombat,6.5,0.2,4.8,0.0
2020.01.12vasárnap,4.2,0.8,1.4,0.0
2020.01.13hétfő,2.7,-0.3,1.9,0.0
2020.01.14kedd,2.9,-0.5,2.1,0.0
2020.01.15szerda,3.1,-0.4,2.3,0.0
2020.01.16csütörtök,3.0,-0.1,1.4,0.0
2020.01.17péntek,2.5,-0.3,2.2,0.0
2020.01.18szombat,1.7,-0.8,2.3,0.0
2020.01.19vasárnap,2.8,0.1,2.5,0.1
2020.01.20hétfő,4.4,-0.1,2.6,0.0
2020.01.21kedd,3.6,-0.5,1.5,0.0
2020.01.22szerda,2.8,-0.9,4.7,0.0
2020.01.23csütörtök,3.4,-0.6,4.6,0.0
2020.01.24péntek,1.7,-1.6,1.9,0.0
2020.01.25szombat,1.6,-0.9,1.6,0.9
2020.01.26vasárnap,1.2,0.3,1.9,0.4
2020.01.27hétfő,5.7,1.5,2.0,0.0
2020.01.28kedd,4.7,0.3,3.6,6.8
2020.01.29szerda,5.3,1.5,6.8,0.1
2020.01.30csütörtök,4.5,0.3,6.7,0.4
2020.01.31péntek,11.0,1.5,7.1,0.7
2020.02.01szombat,10.6,5.5,3.3,0.0
2020.02.02vasárnap,12.8,8.6,8.4,0.4
2020.02.03hétfő,10.8,7.3,7.6,5.0
2020.02.04kedd,7.4,3.0,12.6,9.8
2020.02.05szerda,7.0,0.9,11.2,0.0
2020.02.06csütörtök,4.3,-0.1,7.3,0.0
2020.02.07péntek,6.8,1.2,5.3,0.0
2020.02.08szombat,4.1,-0.8,3.7,0.0
2020.02.09vasárnap,5.3,-0.6,2.9,0.0
2020.02.10hétfő,12.0,3.5,8.6,0.4
2020.02.11kedd,7.9,4.4,11.0,2.1
2020.02.12szerda,6.4,2.2,7.3,0.0
2020.02.13csütörtök,7.4,1.4,6.3,1.0
2020.02.14péntek,8.0,4.9,6.7,4.3
2020.02.15szombat,8.2,2.5,3.4,0.0
2020.02.16vasárnap,9.1,2.0,3.6,0.0
2020.02.17hétfő,11.0,3.6,2.6,0.0
2020.02.18kedd,10.8,6.0,6.1,0.4
2020.02.19szerda,7.8,3.1,6.0,0.2
2020.02.20csütörtök,6.8,2.2,5.8,0.0
2020.02.21péntek,7.8,2.6,8.8,0.4
2020.02.22szombat,8.6,1.6,4.9,0.0
2020.02.23vasárnap,10.8,5.0,8.5,0.4
2020.02.24hétfő,12.3,5.0,9.6,1.9
2020.02.25kedd,14.4,4.2,5.5,1.9
2020.02.26szerda,8.9,4.7,7.7,7.1
2020.02.27csütörtök,6.8,2.6,7.8,0.0
