,Date,Wind_m/s,Precipitation_mm,Min_temp,Max_temp,Mean_temp,Target: Min_temp
0,2017.07.01,6.1,14.0,15.0,26.0,20.5,15.0
1,2017.07.02,6.9,0.0,15.0,25.0,20.0,16.0
2,2017.07.03,6.7,0.0,16.0,25.0,20.5,12.0
3,2017.07.04,5.3,0.0,12.0,27.0,19.5,17.0
4,2017.07.05,4.2,0.0,17.0,30.0,23.5,17.0
5,2017.07.06,5.6,0.0,17.0,30.0,23.5,17.0
6,2017.07.07,4.7,0.0,17.0,28.0,22.5,16.0
7,2017.07.08,6.7,0.0,16.0,32.0,24.0,18.0
8,2017.07.09,2.2,0.0,18.0,30.0,24.0,20.0
9,2017.07.10,6.4,21.0,20.0,36.0,28.0,22.16
10,2017.07.11,3.7,0.4,22.16,31.48,26.82,19.55
11,2017.07.12,2.2,1.5,19.55,32.14,25.845,17.3
12,2017.07.13,7.0,1.0,17.3,24.78,21.04,14.39
13,2017.07.14,1.6,0.0,14.39,24.71,19.55,15.19
14,2017.07.15,5.2,2.4,15.19,24.83,20.009999999999998,14.36
15,2017.07.16,3.4,0.0,14.36,25.43,19.895,16.6
16,2017.07.17,1.5,0.0,16.6,29.02,22.810000000000002,19.56
17,2017.07.18,1.3,0.0,19.56,31.16,25.36,17.75
18,2017.07.19,2.3,0.0,17.75,33.04,25.395,18.64
19,2017.07.20,1.6,0.0,18.64,34.84,26.740000000000002,22.94
20,2017.07.21,4.0,0.0,22.94,33.28,28.11,21.52
21,2017.07.22,1.9,5.0,21.52,34.21,27.865000000000002,21.58
22,2017.07.23,2.5,0.6,21.58,33.89,27.735,21.92
23,2017.07.24,3.1,8.3,21.92,30.87,26.395000000000003,15.1
24,2017.07.25,8.4,12.9,15.1,22.1,18.6,13.2
25,2017.07.26,5.9,0.0,13.2,20.7,16.95,12.8
26,2017.07.27,7.1,1.0,12.8,20.7,16.75,15.9
27,2017.07.28,6.8,0.2,15.9,23.1,19.5,16.0
28,2017.07.29,3.3,0.0,16.0,26.4,21.2,16.4
29,2017.07.30,4.7,0.0,16.4,27.9,22.15,18.3
30,2017.07.31,3.8,0.0,18.3,30.0,24.15,20.8
31,2017.08.01,3.9,0.0,20.8,31.7,26.25,23.4
32,2017.08.02,5.5,0.0,23.4,34.7,29.05,20.5
33,2017.08.03,2.1,0.0,20.5,34.6,27.55,22.6
34,2017.08.04,2.1,2.8,22.6,36.8,29.7,24.9
35,2017.08.05,6.6,0.0,24.9,33.8,29.349999999999998,23.1
36,2017.08.06,7.9,0.4,23.1,32.7,27.900000000000002,16.6
37,2017.08.07,4.8,4.2,16.6,23.7,20.15,13.7
38,2017.08.08,3.0,0.0,13.7,29.2,21.45,18.2
39,2017.08.09,4.6,0.0,18.2,29.3,23.75,22.9
40,2017.08.10,5.3,0.0,22.9,36.1,29.5,22.4
41,2017.08.11,6.0,0.0,22.4,34.3,28.349999999999998,19.9
42,2017.08.12,8.6,0.5,19.9,23.5,21.7,17.1
43,2017.08.13,8.1,0.0,17.1,26.4,21.75,12.7
44,2017.08.14,3.4,0.0,12.7,25.2,18.95,14.9
45,2017.08.15,3.2,0.0,14.9,27.4,21.15,14.6
46,2017.08.16,2.8,0.0,14.6,28.0,21.3,16.3
47,2017.08.17,2.4,0.0,16.3,30.8,23.55,18.0
48,2017.08.18,3.8,0.0,18.0,32.9,25.45,20.5
49,2017.08.19,7.9,0.3,20.5,32.7,26.6,14.7
50,2017.08.20,7.2,7.8,14.7,20.9,17.799999999999997,13.1
51,2017.08.21,6.1,0.0,13.1,23.4,18.25,10.7
52,2017.08.22,2.7,0.0,10.7,22.5,16.6,10.8
53,2017.08.23,3.5,0.0,10.8,23.7,17.25,9.1
54,2017.08.24,2.9,0.1,9.1,26.3,17.7,14.1
55,2017.08.25,2.2,0.0,14.1,29.5,21.8,16.4
56,2017.08.26,2.6,0.0,16.4,30.2,23.299999999999997,18.3
57,2017.08.27,4.4,0.0,18.3,32.2,25.25,17.0
58,2017.08.28,3.7,0.0,17.0,25.3,21.15,14.7
59,2017.08.29,3.0,0.0,14.7,25.7,20.2,12.1
60,2017.08.30,3.5,0.0,12.1,28.0,20.05,12.8
61,2017.08.31,3.9,0.0,12.8,28.5,20.65,15.8
62,2017.09.01,3.8,2.9,15.8,31.0,23.4,16.0
63,2017.09.02,4.8,10.9,16.0,22.2,19.1,15.1
64,2017.09.03,4.8,2.2,15.1,20.2,17.65,12.1
65,2017.09.04,6.7,1.9,12.1,18.9,15.5,9.6
66,2017.09.05,5.9,0.0,9.6,21.6,15.600000000000001,10.4
67,2017.09.06,6.7,2.1,10.4,22.2,16.3,12.6
68,2017.09.07,7.4,0.0,12.6,19.5,16.05,8.7
69,2017.09.08,3.0,0.0,8.7,21.4,15.049999999999999,11.3
70,2017.09.09,4.4,1.0,11.3,24.5,17.9,13.8
71,2017.09.10,5.4,0.0,13.8,26.0,19.9,18.6
72,2017.09.11,4.5,3.4,18.6,26.1,22.35,14.3
73,2017.09.12,6.6,1.8,14.3,20.1,17.200000000000003,12.6
74,2017.09.13,6.6,0.0,12.6,22.0,17.3,12.6
75,2017.09.14,9.8,0.8,12.6,22.7,17.65,12.2
76,2017.09.15,8.2,0.5,12.2,17.3,14.75,13.0
77,2017.09.16,3.6,1.8,13.0,19.1,16.05,9.4
78,2017.09.17,8.2,11.6,9.4,16.6,13.0,10.3
79,2017.09.18,3.4,0.8,10.3,17.3,13.8,11.3
80,2017.09.19,5.3,9.9,11.3,14.8,13.05,12.5
81,2017.09.20,2.7,15.0,12.5,16.3,14.4,12.2
82,2017.09.21,7.5,5.4,12.2,13.8,13.0,10.5
83,2017.09.22,7.0,0.4,10.5,17.0,13.75,10.4
84,2017.09.23,7.7,16.9,10.4,13.0,11.7,9.2
85,2017.09.24,5.8,0.2,9.2,16.7,12.95,10.9
86,2017.09.25,3.6,0.9,10.9,16.9,13.899999999999999,7.8
87,2017.09.26,4.1,0.0,7.8,20.9,14.35,12.1
88,2017.09.27,4.5,0.0,12.1,16.7,14.399999999999999,8.0
89,2017.09.28,3.8,0.0,8.0,16.6,12.3,5.5
90,2017.09.29,2.1,0.0,5.5,16.8,11.15,4.3
91,2017.09.30,2.1,0.0,4.3,16.9,10.6,4.7
92,2017.10.01,2.4,0.0,4.7,16.2,10.45,3.1
93,2017.10.02,5.3,0.0,3.1,17.0,10.05,4.9
94,2017.10.03,4.3,6.1,4.9,15.6,10.25,10.1
95,2017.10.04,6.9,0.0,10.1,16.1,13.100000000000001,10.5
96,2017.10.05,9.9,0.0,10.5,19.6,15.05,10.5
97,2017.10.06,7.7,0.0,10.5,14.9,12.7,8.3
98,2017.10.07,6.4,0.0,8.3,14.8,11.55,6.8
99,2017.10.08,7.6,0.1,6.8,14.8,10.8,9.1
100,2017.10.09,5.4,0.1,9.1,13.6,11.35,8.2
101,2017.10.10,4.5,0.2,8.2,16.0,12.1,10.6
102,2017.10.11,4.5,0.4,10.6,17.8,14.2,8.2
103,2017.10.12,5.0,0.0,8.2,20.3,14.25,11.0
104,2017.10.13,5.4,0.0,11.0,17.6,14.3,9.0
105,2017.10.14,3.1,0.0,9.0,18.4,13.7,9.0
106,2017.10.15,2.8,0.0,9.0,20.5,14.75,9.7
107,2017.10.16,2.0,0.0,9.7,21.0,15.35,9.6
108,2017.10.17,2.9,0.0,9.6,21.4,15.5,10.8
109,2017.10.18,3.0,0.0,10.8,20.5,15.65,8.0
110,2017.10.19,2.0,0.0,8.0,18.8,13.4,7.7
111,2017.10.20,2.3,0.0,7.7,19.4,13.549999999999999,7.7
112,2017.10.21,2.0,0.0,7.7,16.9,12.299999999999999,8.6
113,2017.10.22,4.8,5.8,8.6,16.4,12.5,9.3
114,2017.10.23,7.3,44.8,9.3,10.6,9.95,5.0
115,2017.10.24,6.8,0.0,5.0,13.1,9.05,2.8
116,2017.10.25,3.6,0.2,2.8,12.2,7.5,6.1
117,2017.10.26,3.8,0.0,6.1,15.3,10.7,8.8
118,2017.10.27,8.4,1.3,8.8,14.6,11.7,6.1
119,2017.10.28,8.1,0.2,6.1,10.0,8.05,5.4
120,2017.10.29,14.4,8.5,5.4,10.2,7.8,4.2
121,2017.10.30,9.1,0.1,4.2,8.0,6.1,2.9
122,2017.10.31,6.1,0.0,2.9,8.4,5.65,0.5
123,2017.11.01,4.1,0.0,0.5,10.0,5.25,3.2
124,2017.11.02,5.0,0.0,3.2,11.6,7.4,3.9
125,2017.11.03,5.6,0.1,3.9,11.4,7.65,1.3
126,2017.11.04,3.4,0.0,1.3,11.4,6.3500000000000005,4.9
127,2017.11.05,4.5,0.7,4.9,11.7,8.3,5.8
128,2017.11.06,5.6,0.1,5.8,12.7,9.25,2.9
129,2017.11.07,5.0,1.9,2.9,11.2,7.05,6.2
130,2017.11.08,4.4,1.9,6.2,10.4,8.3,7.0
131,2017.11.09,3.2,2.1,7.0,9.8,8.4,3.1
132,2017.11.10,3.4,0.8,3.1,8.6,5.85,4.6
133,2017.11.11,4.7,0.3,4.6,10.5,7.55,4.3
134,2017.11.12,6.5,5.3,4.3,9.7,7.0,5.1
135,2017.11.13,6.3,13.8,5.1,9.1,7.1,2.7
136,2017.11.14,5.3,3.6,2.7,7.2,4.95,-3.1
137,2017.11.15,2.9,0.0,-3.1,5.8,1.3499999999999999,0.7
138,2017.11.16,2.2,0.0,0.7,6.4,3.5500000000000003,-0.1
139,2017.11.17,2.6,0.1,-0.1,6.2,3.0500000000000003,-0.0
140,2017.11.18,4.7,5.0,-0.0,5.3,2.65,-0.1
141,2017.11.19,4.5,0.7,-0.1,6.1,3.0,2.2
142,2017.11.20,6.9,0.5,2.2,5.9,4.050000000000001,1.5
143,2017.11.21,7.6,2.0,1.5,7.8,4.65,3.0
144,2017.11.22,4.4,0.6,3.0,9.1,6.05,-0.2
145,2017.11.23,2.2,0.2,-0.2,8.4,4.1000000000000005,2.4
146,2017.11.24,2.4,0.2,2.4,7.8,5.1,5.1
147,2017.11.25,6.1,0.5,5.1,8.8,6.95,2.3
148,2017.11.26,7.7,8.7,2.3,6.3,4.3,-0.3
149,2017.11.27,6.6,0.0,-0.3,5.0,2.35,-3.0
150,2017.11.28,3.4,0.0,-3.0,4.4,0.7000000000000002,-2.0
151,2017.11.29,5.3,3.2,-2.0,2.1,0.050000000000000044,0.8
152,2017.11.30,7.7,23.5,0.8,3.7,2.25,-3.9
153,2017.12.01,3.8,0.0,-3.9,3.1,-0.3999999999999999,-5.9
154,2017.12.02,2.8,0.1,-5.9,-0.1,-3.0,-5.6
155,2017.12.03,3.8,0.2,-5.6,-1.3,-3.4499999999999997,-3.7
156,2017.12.04,6.4,0.6,-3.7,1.5,-1.1,-0.5
157,2017.12.05,6.4,0.3,-0.5,2.8,1.15,-0.1
158,2017.12.06,7.4,0.0,-0.1,3.3,1.5999999999999999,-2.7
159,2017.12.07,4.6,0.0,-2.7,4.7,1.0,-2.9
160,2017.12.08,8.3,12.0,-2.9,7.6,2.3499999999999996,0.1
161,2017.12.09,8.4,1.0,0.1,2.5,1.3,-2.8
162,2017.12.10,9.1,1.2,-2.8,2.5,-0.1499999999999999,2.3
163,2017.12.11,8.9,5.9,2.3,10.4,6.35,10.0
164,2017.12.12,8.7,3.8,10.0,13.7,11.85,0.9
165,2017.12.13,5.8,2.0,0.9,5.0,2.95,-1.8
166,2017.12.14,5.6,5.5,-1.8,5.5,1.85,3.0
167,2017.12.15,7.0,27.6,3.0,8.7,5.85,0.9
168,2017.12.16,4.7,3.8,0.9,5.5,3.2,-2.3
169,2017.12.17,5.5,0.0,-2.3,3.0,0.3500000000000001,-5.1
170,2017.12.18,2.2,0.2,-5.1,0.6,-2.25,-5.6
171,2017.12.19,2.1,0.2,-5.6,-1.0,-3.3,-7.2
172,2017.12.20,2.0,0.2,-7.2,-2.4,-4.8,-8.8
173,2017.12.21,3.6,0.6,-8.8,-1.8,-5.300000000000001,-1.8
174,2017.12.22,5.7,0.0,-1.8,3.4,0.7999999999999999,-1.1
175,2017.12.23,7.5,0.2,-1.1,2.9,0.8999999999999999,2.9
176,2017.12.24,8.6,0.2,2.9,7.7,5.3,-2.6
177,2017.12.25,4.7,0.0,-2.6,6.2,1.8,-0.5
178,2017.12.26,6.7,0.1,-0.5,8.2,3.8499999999999996,1.8
179,2017.12.27,7.2,0.0,1.8,8.0,4.9,2.2
180,2017.12.28,7.5,7.0,2.2,7.3,4.75,-1.8
181,2017.12.29,9.5,0.4,-1.8,2.4,0.29999999999999993,-4.3
182,2017.12.30,5.3,0.2,-4.3,2.0,-1.15,-0.3
183,2017.12.31,5.0,3.9,-0.3,4.4,2.0500000000000003,1.6
184,2018.01.01,5.0,0.3,1.6,7.0,4.3,1.2
185,2018.01.02,7.8,8.7,1.2,4.8,3.0,-1.0
186,2018.01.03,7.4,6.1,-1.0,4.1,1.5499999999999998,2.8
187,2018.01.04,6.2,0.3,2.8,7.7,5.25,2.9
188,2018.01.05,3.5,1.1,2.9,8.6,5.75,6.4
189,2018.01.06,4.7,0.4,6.4,12.5,9.45,4.0
190,2018.01.07,3.2,0.1,4.0,9.6,6.8,5.7
191,2018.01.08,4.0,0.3,5.7,8.3,7.0,4.7
192,2018.01.09,5.5,0.0,4.7,7.4,6.050000000000001,3.7
193,2018.01.10,6.3,1.3,3.7,5.4,4.550000000000001,2.8
194,2018.01.11,3.0,3.1,2.8,6.2,4.5,2.6
195,2018.01.12,3.9,4.0,2.6,4.6,3.5999999999999996,-0.7
196,2018.01.13,7.6,2.6,-0.7,2.4,0.85,-3.4
197,2018.01.14,5.0,3.6,-3.4,-0.6,-2.0,-5.2
198,2018.01.15,2.9,0.9,-5.2,-2.4,-3.8,-3.7
199,2018.01.16,5.4,2.7,-3.7,1.3,-1.2000000000000002,-4.7
200,2018.01.17,8.4,0.0,-4.7,3.0,-0.8500000000000001,-1.0
201,2018.01.18,7.3,0.3,-1.0,3.5,1.25,-0.3
202,2018.01.19,7.1,1.2,-0.3,4.6,2.15,-4.1
203,2018.01.20,3.8,0.1,-4.1,3.1,-0.4999999999999998,-2.2
204,2018.01.21,9.4,6.2,-2.2,2.2,0.0,-3.4
205,2018.01.22,7.1,0.0,-3.4,1.3,-1.0499999999999998,-7.9
206,2018.01.23,2.0,0.7,-7.9,-0.7,-4.3,-12.5
207,2018.01.24,2.8,0.3,-12.5,-2.3,-7.4,-5.9
208,2018.01.25,4.6,1.4,-5.9,1.4,-2.25,-5.1
209,2018.01.26,3.8,0.0,-5.1,0.2,-2.4499999999999997,-4.3
210,2018.01.27,3.0,0.1,-4.3,2.0,-1.15,-2.8
211,2018.01.28,3.7,0.1,-2.8,3.9,0.55,0.9
212,2018.01.29,4.8,0.1,0.9,8.5,4.7,-0.9
213,2018.01.30,7.8,0.0,-0.9,6.6,2.8499999999999996,-2.2
214,2018.01.31,4.1,0.1,-2.2,4.7,1.25,3.8
215,2018.02.01,7.4,6.9,3.8,8.3,6.050000000000001,4.0
216,2018.02.02,4.7,7.5,4.0,8.7,6.35,0.2
217,2018.02.03,7.6,13.5,0.2,2.4,1.3,-1.9
218,2018.02.04,6.9,0.0,-1.9,2.4,0.25,-4.4
219,2018.02.05,1.7,0.1,-4.4,1.9,-1.2500000000000002,-2.0
220,2018.02.06,4.2,1.6,-2.0,0.2,-0.9,-3.3
221,2018.02.07,5.7,3.6,-3.3,2.3,-0.5,0.1
222,2018.02.08,4.8,7.4,0.1,2.8,1.45,-2.8
223,2018.02.09,3.6,0.4,-2.8,1.4,-0.7,-2.2
224,2018.02.10,2.1,0.6,-2.2,1.1,-0.55,-4.7
225,2018.02.11,2.0,0.2,-4.7,1.8,-1.4500000000000002,-3.5
226,2018.02.12,2.0,0.2,-3.5,3.3,-0.10000000000000009,-2.0
227,2018.02.13,5.0,1.1,-2.0,2.6,0.30000000000000004,-1.0
228,2018.02.14,4.5,2.8,-1.0,1.7,0.35,-4.6
229,2018.02.15,2.0,0.1,-4.6,2.1,-1.2499999999999998,-7.0
230,2018.02.16,2.1,1.0,-7.0,2.4,-2.3,-2.6
231,2018.02.17,3.6,2.3,-2.6,2.0,-0.30000000000000004,-4.3
232,2018.02.18,3.2,5.2,-4.3,3.3,-0.5,-9.3
233,2018.02.19,3.8,1.6,-9.3,1.0,-4.15,-1.6
234,2018.02.20,4.3,8.6,-1.6,0.9,-0.35000000000000003,-0.9
235,2018.02.21,4.5,3.9,-0.9,1.7,0.39999999999999997,-3.0
236,2018.02.22,6.2,2.3,-3.0,0.4,-1.3,-3.5
237,2018.02.23,4.4,0.2,-3.5,2.0,-0.75,-9.3
238,2018.02.24,6.2,1.4,-9.3,-0.1,-4.7,-11.9
239,2018.02.25,5.7,0.0,-11.9,-6.6,-9.25,-11.3
240,2018.02.26,6.9,0.8,-11.3,-6.1,-8.7,-9.7
241,2018.02.27,6.6,1.9,-9.7,-7.2,-8.45,-13.1
242,2018.02.28,3.9,0.2,-13.1,-6.5,-9.8,-12.9
243,2018.03.01,4.3,0.7,-12.9,-7.4,-10.15,-9.9
244,2018.03.02,4.7,2.5,-9.9,-6.3,-8.1,-13.5
245,2018.03.03,3.5,0.1,-13.5,-4.4,-8.95,-16.6
246,2018.03.04,4.0,0.1,-16.6,-3.6,-10.100000000000001,-17.4
247,2018.03.05,4.0,0.4,-17.4,-2.4,-9.899999999999999,-2.0
248,2018.03.06,4.7,6.3,-2.0,1.8,-0.09999999999999998,-2.6
249,2018.03.07,2.9,0.2,-2.6,6.0,1.7,-2.8
250,2018.03.08,3.8,1.8,-2.8,6.4,1.8000000000000003,-2.0
251,2018.03.09,3.5,0.0,-2.0,9.3,3.6500000000000004,1.3
252,2018.03.10,5.2,0.5,1.3,9.7,5.5,4.9
253,2018.03.11,5.6,3.6,4.9,12.3,8.600000000000001,9.4
254,2018.03.12,7.2,7.3,9.4,13.4,11.4,6.1
255,2018.03.13,5.9,2.9,6.1,12.6,9.35,5.3
256,2018.03.14,7.0,0.2,5.3,10.9,8.1,4.4
257,2018.03.15,4.4,2.5,4.4,10.2,7.3,6.2
258,2018.03.16,6.0,18.6,6.2,9.9,8.05,0.6
259,2018.03.17,6.5,1.5,0.6,5.8,3.1999999999999997,-4.7
260,2018.03.18,10.4,13.4,-4.7,-0.4,-2.5500000000000003,-6.5
261,2018.03.19,3.6,1.1,-6.5,0.6,-2.95,-4.1
262,2018.03.20,5.5,1.6,-4.1,0.0,-2.05,-3.5
263,2018.03.21,5.4,0.7,-3.5,2.8,-0.3500000000000001,-7.8
264,2018.03.22,2.2,0.0,-7.8,2.8,-2.5,-6.1
265,2018.03.23,2.1,0.0,-6.1,6.1,0.0,-3.5
266,2018.03.24,3.8,0.0,-3.5,6.3,1.4,-3.6
267,2018.03.25,5.7,0.0,-3.6,7.8,2.0999999999999996,-2.1
268,2018.03.26,2.6,0.0,-2.1,8.6,3.25,1.9
269,2018.03.27,4.9,0.0,1.9,9.3,5.6000000000000005,-0.7
270,2018.03.28,4.1,1.3,-0.7,10.6,4.95,3.2
271,2018.03.29,4.8,1.8,3.2,11.1,7.15,4.2
272,2018.03.30,4.1,5.4,4.2,11.9,8.05,7.4
273,2018.03.31,7.1,5.1,7.4,14.2,10.8,6.3
274,2018.04.01,9.7,0.2,6.3,10.5,8.4,5.2
275,2018.04.02,9.5,0.1,5.2,11.2,8.2,6.4
276,2018.04.03,7.3,0.0,6.4,15.3,10.850000000000001,9.1
277,2018.04.04,7.0,0.0,9.1,17.2,13.149999999999999,10.7
278,2018.04.05,7.4,0.2,10.7,17.7,14.2,9.0
279,2018.04.06,7.8,0.0,9.0,14.7,11.85,7.2
280,2018.04.07,4.0,0.1,7.2,16.1,11.65,8.2
281,2018.04.08,8.0,0.0,8.2,18.8,13.5,11.6
282,2018.04.09,6.3,0.6,11.6,21.0,16.3,10.7
283,2018.04.10,6.8,0.0,10.7,17.4,14.049999999999999,8.9
284,2018.04.11,5.8,0.0,8.9,17.1,13.0,11.0
285,2018.04.12,4.8,0.0,11.0,22.1,16.55,13.4
286,2018.04.13,4.8,0.6,13.4,18.5,15.95,10.5
287,2018.04.14,3.0,0.0,10.5,21.2,15.85,13.3
288,2018.04.15,5.2,0.0,13.3,22.9,18.1,15.1
289,2018.04.16,5.2,2.3,15.1,19.0,17.05,12.9
290,2018.04.17,4.1,4.8,12.9,19.9,16.4,14.5
291,2018.04.18,4.3,3.5,14.5,20.1,17.3,10.6
292,2018.04.19,5.0,0.0,10.6,20.9,15.75,10.6
293,2018.04.20,3.4,0.0,10.6,19.8,15.2,8.9
294,2018.04.21,2.8,0.0,8.9,19.9,14.399999999999999,10.0
295,2018.04.22,2.5,0.0,10.0,22.8,16.4,13.2
296,2018.04.23,4.0,0.7,13.2,25.3,19.25,14.5
297,2018.04.24,5.3,2.1,14.5,22.6,18.55,12.8
298,2018.04.25,5.1,0.1,12.8,24.7,18.75,13.9
299,2018.04.26,7.0,1.2,13.9,22.5,18.2,10.9
300,2018.04.27,5.9,0.0,10.9,18.4,14.649999999999999,10.8
301,2018.04.28,4.6,2.3,10.8,24.7,17.75,16.2
302,2018.04.29,5.8,9.9,16.2,23.3,19.75,16.0
303,2018.04.30,5.1,7.7,16.0,23.8,19.9,14.0
304,2018.05.01,3.8,0.6,14.0,23.5,18.75,15.0
305,2018.05.02,3.9,8.4,15.0,24.6,19.8,15.0
306,2018.05.03,4.6,0.0,15.0,24.9,19.95,15.0
307,2018.05.04,4.4,1.2,15.0,26.6,20.8,18.6
308,2018.05.05,6.2,0.0,18.6,27.6,23.1,17.3
309,2018.05.06,6.3,0.0,17.3,23.5,20.4,15.2
310,2018.05.07,6.0,0.0,15.2,22.6,18.9,13.0
311,2018.05.08,4.7,0.4,13.0,20.7,16.85,13.4
312,2018.05.09,2.7,5.2,13.4,23.6,18.5,16.4
313,2018.05.10,4.3,3.3,16.4,24.5,20.45,14.2
314,2018.05.11,2.0,1.7,14.2,24.9,19.549999999999997,16.4
315,2018.05.12,3.6,0.0,16.4,23.2,19.799999999999997,13.4
316,2018.05.13,5.3,0.1,13.4,22.5,17.95,13.7
317,2018.05.14,5.7,0.0,13.7,20.0,16.85,11.4
318,2018.05.15,5.2,8.9,11.4,18.2,14.8,9.4
319,2018.05.16,6.5,0.8,9.4,17.7,13.55,12.8
320,2018.05.17,7.6,1.5,12.8,18.2,15.5,14.1
321,2018.05.18,7.1,1.8,14.1,22.4,18.25,12.7
322,2018.05.19,3.9,1.4,12.7,22.7,17.7,11.3
